GivenName,LastName,Position,TigerPlayBegin1,TigerPlayStop1,TigerPlayBegin2,TigerPlayStop2,TigerPlayBegin3,BirthDate,BirthPlace,DeathDate,DeathPlace,URL,Image,Caption,Source,Column 17
Doug,Brocail, P,1997-01-01T00:00:00Z,2000-01-01T00:00:00Z,,,,,,,,,,,,
Rico,Brogna, IF,1992-01-01T00:00:00Z,1994-01-01T00:00:00Z,,,,,,,,,,,,
Ike,Brookens, P,1975-01-01T00:00:00Z,,,,,,,,,,,,,
Tom,Brookens, IF,1979-01-01T00:00:00Z,1988-01-01T00:00:00Z,,,,,,,,,,,,
Louis,Brower, IF,1931-01-01T00:00:00Z,,,,,,,,,,,,,
Chris,Brown, IF,1989-01-01T00:00:00Z,,,,,,,,,,,,,
Darrell,Brown, OF,1981-01-01T00:00:00Z,,,,,,,,,,,,,
Dick,Brown, C,1961-01-01T00:00:00Z,1962-01-01T00:00:00Z,,,,,,,,,,,,
Gates,Brown, OF,1963-01-01T00:00:00Z,1975-01-01T00:00:00Z,,,,,,,,,,,,
Ike,Brown, IF,1969-01-01T00:00:00Z,1974-01-01T00:00:00Z,,,,,,,,,,,,
Frank,Browning, P,1910-01-01T00:00:00Z,,,,,,,,,,,,,
Bob,Bruce, P,1959-01-01T00:00:00Z,1961-01-01T00:00:00Z,,,,,,,,,,,,
Andy,Bruckmiller, P,1905-01-01T00:00:00Z,,,,,,,,,,,,,
Mike,Brumley, IF,1989-01-01T00:00:00Z,,,,,,,,,,,,,
Arlo,Brunsberg, C,1966-01-01T00:00:00Z,,,,,,,,,,,,,
Will,Brunson, P,1998-01-01T00:00:00Z,1999-01-01T00:00:00Z,,,,,,,,,,,,
Bill,Bruton, OF,1961-01-01T00:00:00Z,1964-01-01T00:00:00Z,,,,,,,,,,,,
Johnny,Bucha, C,1953-01-01T00:00:00Z,,,,,,,,,,,,,
Don,Buddin, IF,1962-01-01T00:00:00Z,,,,,,,,,,,,,
Fritz,Buelow, C,1901-01-01T00:00:00Z,1904-01-01T00:00:00Z,,,,,,,,,,,,
George,Bullard, IF,1954-01-01T00:00:00Z,,,,,,,,,,,,,
Jim,Bunning, P,1955-01-01T00:00:00Z,1963-01-01T00:00:00Z,,,,,,,,,,,,
Les,Burke, IF,1923-01-01T00:00:00Z,1926-01-01T00:00:00Z,,,,,,,,,,,,
Bill,Burns, P,1912-01-01T00:00:00Z,,,,,,,,,,,,,
George,Burns, IF,1914-01-01T00:00:00Z,1917-01-01T00:00:00Z,,,,,,,,,,,,
Jack,Burns, IF,1936-01-01T00:00:00Z,,,,,,,,,,,,,
Jack,Burns, IF,1903-01-01T00:00:00Z,1904-01-01T00:00:00Z,,,,,,,,,,,,
Joe,Burns, OF,1913-01-01T00:00:00Z,,,,,,,,,,,,,
Pete,Burnside, P,1959-01-01T00:00:00Z,1960-01-01T00:00:00Z,,,,,,,,,,,,
Sheldon,Burnside, P,1978-01-01T00:00:00Z,1979-01-01T00:00:00Z,,,,,,,,,,,,
Donie,Bush, IF,1908-01-01T00:00:00Z,1921-01-01T00:00:00Z,,,,,,,,,,,,
Sal,Butera, C,1983-01-01T00:00:00Z,,,,,,,,,,,,,
Harry,Byrd, P,1957-01-01T00:00:00Z,,,,,,,,,,,,,
Tim,Byrdak, P,2007-01-01T00:00:00Z,,,,,,,,,,,,,
Enos,Cabell, IF,1982-01-01T00:00:00Z,1983-01-01T00:00:00Z,,,,,,,,,,,,
Miguel,Cabrera, IF,2008-01-01T00:00:00Z,2013-01-01T00:00:00Z,,,,,,,,,,,,
Greg,Cadaret, P,1994-01-01T00:00:00Z,,,,,,,,,,,,,
Bob,Cain, P,1951-01-01T00:00:00Z,,,,,,,,,,,,,
Les,Cain, P,1968-01-01T00:00:00Z,1972-01-01T00:00:00Z,,,,,,,,,,,,
Paul,Calvert, P,1950-01-01T00:00:00Z,1951-01-01T00:00:00Z,,,,,,,,,,,,
Bill,Campbell, P,1986-01-01T00:00:00Z,,,,,,,,,,,,,
Bruce,Campbell, OF,1940-01-01T00:00:00Z,1941-01-01T00:00:00Z,,,,,,,,,,,,
Dave,Campbell, IF,1967-01-01T00:00:00Z,1969-01-01T00:00:00Z,,,,,,,,,,,,
Paul,Campbell, IF,1948-01-01T00:00:00Z,1950-01-01T00:00:00Z,,,,,,,,,,,,
Guy,Cantrell, P,1930-01-01T00:00:00Z,,,,,,,,,,,,,
José,Capellán, P,2007-01-01T00:00:00Z,,,,,,,,,,,,,
George,Cappuzzello, P,1981-01-01T00:00:00Z,,,,,,,,,,,,,
Javier,Cardona, C,2000-01-01T00:00:00Z,2002-01-01T00:00:00Z,,,,,,,,,,,,
Fred,Carisch, C,1923-01-01T00:00:00Z,,,,,,,,,,,,,
Charlie,Carr, IF,1903-01-01T00:00:00Z,1904-01-01T00:00:00Z,,,,,,,,,,,,
Mark,Carreon, OF,1992-01-01T00:00:00Z,,,,,,,,,,,,,
Ownie,Carroll, P,1925-01-01T00:00:00Z,1930-01-01T00:00:00Z,,,,,,,,,,,,
Frank,Carswell, OF,1953-01-01T00:00:00Z,,,,,,,,,,,,,
Chuck,Cary, P,1985-01-01T00:00:00Z,1986-01-01T00:00:00Z,,,,,,,,,,,,
Jerry,Casale, P,1961-01-01T00:00:00Z,1962-01-01T00:00:00Z,,,,,,,,,,,,
Raul,Casanova, C,1996-01-01T00:00:00Z,1999-01-01T00:00:00Z,,,,,,,,,,,,
Doc,Casey, IF,1901-01-01T00:00:00Z,1902-01-01T00:00:00Z,,,,,,,,,,,,
Joe,Casey, C,1909-01-01T00:00:00Z,1911-01-01T00:00:00Z,,,,,,,,,,,,
Sean,Casey, IF,2006-01-01T00:00:00Z,2007-01-01T00:00:00Z,,,,,,,,,,,,
Norm,Cash, IF,1960-01-01T00:00:00Z,1974-01-01T00:00:00Z,,,,,,,,,,,,
Ron,Cash, IF,1973-01-01T00:00:00Z,1974-01-01T00:00:00Z,,,,,,,,,,,,
George,Caster, P,1945-01-01T00:00:00Z,1946-01-01T00:00:00Z,,,,,,,,,,,,
Frank,Castillo, P,1998-01-01T00:00:00Z,,,,,,,,,,,,,
Marty,Castillo, IF,1981-01-01T00:00:00Z,1985-01-01T00:00:00Z,,,,,,,,,,,,
Frank,Catalanotto, OF,1997-01-01T00:00:00Z,1999-01-01T00:00:00Z,,,,,,,,,,,,
Pug,Cavet, P,1911-01-01T00:00:00Z,1915-01-01T00:00:00Z,,,,,,,,,,,,
Andújar,Cedeño, IF,1996-01-01T00:00:00Z,,,,,,,,,,,,,
Roger,Cedeño, OF,2000-01-01T00:00:00Z,2001-01-01T00:00:00Z,,,,,,,,,,,,
John,Cerutti, P,1991-01-01T00:00:00Z,,,,,,,,,,,,,
Dean,Chance, P,1971-01-01T00:00:00Z,,,,,,,,,,,,,
Harry,Chiti, C,1960-01-01T00:00:00Z,1961-01-01T00:00:00Z,,,,,,,,,,,,
Mike,Chris, P,1979-01-01T00:00:00Z,,,,,,,,,,,,,
Neil,Chrisley, OF,1959-01-01T00:00:00Z,1960-01-01T00:00:00Z,,,,,,,,,,,,
Bob,Christian, OF,1968-01-01T00:00:00Z,,,,,,,,,,,,,
Mark,Christman, IF,1938-01-01T00:00:00Z,1939-01-01T00:00:00Z,,,,,,,,,,,,
Mike,Christopher, P,1995-01-01T00:00:00Z,1996-01-01T00:00:00Z,,,,,,,,,,,,
Eddie,Cicotte, P,1905-01-01T00:00:00Z,,,,,,,,,,,,,
Al,Cicotte, P,1958-01-01T00:00:00Z,,,,,,,,,,,,,
Davey,Claire, IF,1920-01-01T00:00:00Z,,,,,,,,,,,,,
Danny,Clark, IF,1922-01-01T00:00:00Z,,,,,,,,,,,,,
Jermaine,Clark, OF,2001-01-01T00:00:00Z,,,,,,,,,,,,,
Mel,Clark, OF,1957-01-01T00:00:00Z,,,,,,,,,,,,,
Phil,Clark, OF,1992-01-01T00:00:00Z,,,,,,,,,,,,,
Tony,Clark, IF,1995-01-01T00:00:00Z,2001-01-01T00:00:00Z,,,,,,,,,,,,
Nig,Clarke, C,1905-01-01T00:00:00Z,,,,,,,,,,,,,
Rufe,Clarke, P,1923-01-01T00:00:00Z,1924-01-01T00:00:00Z,,,,,,,,,,,,
Al,Clauss, P,1913-01-01T00:00:00Z,,,,,,,,,,,,,
Brent,Clevlen, OF,2006-01-01T00:00:00Z,2007-01-01T00:00:00Z,,,,,,,,,,,,
Flea,Clifton, IF,1934-01-01T00:00:00Z,1937-01-01T00:00:00Z,,,,,,,,,,,,
Joe,Cobb, DH,1918-01-01T00:00:00Z,,,,,,,,,,,,,
Ty,Cobb, OF,1905-01-01T00:00:00Z,1926-01-01T00:00:00Z,,,,,,,,,,,,
Mickey,Cochrane, C,1934-01-01T00:00:00Z,1937-01-01T00:00:00Z,,,,,,,,,,,,
Jack,Coffey, IF,1918-01-01T00:00:00Z,,,,,,,,,,,,,
Slick,Coffman, P,1937-01-01T00:00:00Z,1939-01-01T00:00:00Z,,,,,,,,,,,,
Phil,Coke, P,2010-01-01T00:00:00Z,2013-01-01T00:00:00Z,,,,,,,,,,,,
Rocky,Colavito, OF,1960-01-01T00:00:00Z,1963-01-01T00:00:00Z,,,,,,,,,,,,
Nate,Colbert, IF,1975-01-01T00:00:00Z,,,,,,,,,,,,,
Bert,Cole, P,1921-01-01T00:00:00Z,1925-01-01T00:00:00Z,,,,,,,,,,,,
Joe,Coleman, P,1955-01-01T00:00:00Z,,,,,,,,,,,,,
Joe,Coleman, P,1971-01-01T00:00:00Z,1976-01-01T00:00:00Z,,,,,,,,,,,,
Vince,Coleman, OF,1997-01-01T00:00:00Z,,,,,,,,,,,,,
Darnell,Coles,IF,1986-01-01T00:00:00Z,1987-01-01T00:00:00Z,1990-01-01T00:00:00Z,,,,,,,,,,,
Orlin,Collier, P,1931-01-01T00:00:00Z,,,,,,,,,,,,,
Dave,Collins, OF,1986-01-01T00:00:00Z,,,,,,,,,,,,,
Kevin,Collins, IF,1970-01-01T00:00:00Z,1971-01-01T00:00:00Z,,,,,,,,,,,,
Rip,Collins, P,1923-01-01T00:00:00Z,1927-01-01T00:00:00Z,,,,,,,,,,,,
Román,Colón, P,2005-01-01T00:00:00Z,2007-01-01T00:00:00Z,,,,,,,,,,,,
Steve,Colyer, P,2004-01-01T00:00:00Z,,,,,,,,,,,,,
Wayne,Comer,OF,1967-01-01T00:00:00Z,1968-01-01T00:00:00Z,1972-01-01T00:00:00Z,,,,,,,,,,,
Ralph,Comstock, P,1913-01-01T00:00:00Z,,,,,,,,,,,,,
Dick,Conger, P,1940-01-01T00:00:00Z,,,,,,,,,,,,,
Allen,Conkwright, P,1920-01-01T00:00:00Z,,,,,,,,,,,,,
Bill,Connelly, P,1950-01-01T00:00:00Z,,,,,,,,,,,,,
Earl,Cook, P,1941-01-01T00:00:00Z,,,,,,,,,,,,,
Duff,Cooley, OF,1905-01-01T00:00:00Z,,,,,,,,,,,,,
Jack,Coombs, P,1920-01-01T00:00:00Z,,,,,,,,,,,,,
Wilbur,Cooper, P,1926-01-01T00:00:00Z,,,,,,,,,,,,,
Tim,Corcoran, IF,1977-01-01T00:00:00Z,1980-01-01T00:00:00Z,,,,,,,,,,,,
Francisco,Cordero, P,1999-01-01T00:00:00Z,,,,,,,,,,,,,
Nate,Cornejo, P,2001-01-01T00:00:00Z,2004-01-01T00:00:00Z,,,,,,,,,,,,
Red,Corriden, IF,1912-01-01T00:00:00Z,,,,,,,,,,,,,
Chuck,Cottier, IF,1961-01-01T00:00:00Z,,,,,,,,,,,,,
Johnny,Couch, P,1917-01-01T00:00:00Z,,,,,,,,,,,,,
Bill,Coughlin, IF,1904-01-01T00:00:00Z,1908-01-01T00:00:00Z,,,,,,,,,,,,
Ernie,Courtney, IF,1903-01-01T00:00:00Z,,,,,,,,,,,,,
Harry,Coveleski, P,1914-01-01T00:00:00Z,1918-01-01T00:00:00Z,,,,,,,,,,,,
Tex,Covington, P,1911-01-01T00:00:00Z,1912-01-01T00:00:00Z,,,,,,,,,,,,
Al,Cowens, OF,1980-01-01T00:00:00Z,1981-01-01T00:00:00Z,,,,,,,,,,,,
Red,Cox, P,1920-01-01T00:00:00Z,,,,,,,,,,,,,
Doc,Cramer, OF,1942-01-01T00:00:00Z,1948-01-01T00:00:00Z,,,,,,,,,,,,
Jim,Crawford, P,1976-01-01T00:00:00Z,1978-01-01T00:00:00Z,,,,,,,,,,,,
Sam,Crawford, OF,1903-01-01T00:00:00Z,1917-01-01T00:00:00Z,,,,,,,,,,,,
Doug,Creek, P,2005-01-01T00:00:00Z,,,,,,,,,,,,,
Jack,Crimian, P,1957-01-01T00:00:00Z,,,,,,,,,,,,,
Leo,Cristante, P,1955-01-01T00:00:00Z,,,,,,,,,,,,,
Davey,Crockett, IF,1901-01-01T00:00:00Z,,,,,,,,,,,,,
Jack,Cronin, P,1901-01-01T00:00:00Z,1902-01-01T00:00:00Z,,,,,,,,,,,,
Casey,Crosby, P,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,,,,,,,,,,,,
Frank,Croucher, IF,1939-01-01T00:00:00Z,1941-01-01T00:00:00Z,,,,,,,,,,,,
Dean,Crow, P,1998-01-01T00:00:00Z,,,,,,,,,,,,,
Alvin,Crowder, P,1934-01-01T00:00:00Z,1936-01-01T00:00:00Z,,,,,,,,,,,,
Francisco,Cruceta, P,2008-01-01T00:00:00Z,,,,,,,,,,,,,
Roy,Crumpler, P,1920-01-01T00:00:00Z,,,,,,,,,,,,,
Deivi,Cruz, IF,1997-01-01T00:00:00Z,2001-01-01T00:00:00Z,,,,,,,,,,,,
Fausto,Cruz, IF,1996-01-01T00:00:00Z,,,,,,,,,,,,,
Jacob,Cruz, OF,2002-01-01T00:00:00Z,,,,,,,,,,,,,
Nelson,Cruz, P,1999-01-01T00:00:00Z,2000-01-01T00:00:00Z,,,,,,,,,,,,
Roy,Cullenbine,OF,1938-01-01T00:00:00Z,1939-01-01T00:00:00Z,1945-01-01T00:00:00Z,1947-01-01T00:00:00Z,,,,,,,,,,
John,Cummings, P,1996-01-01T00:00:00Z,1997-01-01T00:00:00Z,,,,,,,,,,,,
George,Cunningham, P,1916-01-01T00:00:00Z,1921-01-01T00:00:00Z,,,,,,,,,,,,
Jim,Curry, IF,1918-01-01T00:00:00Z,,,,,,,,,,,,,
Chad,Curtis, OF,1995-01-01T00:00:00Z,1996-01-01T00:00:00Z,,,,,,,,,,,,
George,Cutshaw, IF,1922-01-01T00:00:00Z,1923-01-01T00:00:00Z,,,,,,,,,,,,
Milt,Cuyler, OF,1990-01-01T00:00:00Z,1995-01-01T00:00:00Z,,,,,,,,,,,,
Jack,Dalton, OF,1916-01-01T00:00:00Z,,,,,1885-07-03T00:00:00Z,"Henderson, Tennessee",1950-02-17T00:00:00Z,"Pittsburgh, Pennsylvania",http://en.wikipedia.org/wiki/Jack_Dalton_(baseball),,,,
Mike,Dalton, P,1991-01-01T00:00:00Z,,,,,1963-03-27T00:00:00Z,"Palo Alto, California",,,http://en.wikipedia.org/wiki/Mike_Dalton_(baseball),,,,
Johnny,Damon, OF,2010-01-01T00:00:00Z,,,,,1973-11-05T00:00:00Z,"Fort Riley, Kansas",,,http://en.wikipedia.org/wiki/Johnny_Damon,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Johnny_Damon_on_June_28%2C_2012.jpg/800px-Johnny_Damon_on_June_28%2C_2012.jpg,"Johnny Damon, 2012",Keith Allison,
Chuck,Daniel, P,1957-01-01T00:00:00Z,,,,,1933-09-17T00:00:00Z,"Bluffton, Arkansas",2008-01-01T00:00:00Z,"Hot Springs, Arkansas",http://en.wikipedia.org/wiki/Chuck_Daniel,,,,
Vic,Darensbourg, P,2005-01-01T00:00:00Z,,,,,1970-11-13T00:00:00Z,"Los Angeles, California",,,http://en.wikipedia.org/wiki/Vic_Darensbourg,,,,
Jeff,Datz, C,1989-01-01T00:00:00Z,,,,,1959-11-28T00:00:00Z,"Camden, New Jersey",,,http://en.wikipedia.org/wiki/Jeff_Datz,,,,
Doc,Daugherty, PH,1951-01-01T00:00:00Z,,,,,1927-10-12T00:00:00Z,"Paris, Pennsylvania",,,http://en.wikipedia.org/wiki/Doc_Daugherty,,,,
"George ""Hooks""",Dauss, P,1912-01-01T00:00:00Z,1926-01-01T00:00:00Z,,,,1889-09-22T00:00:00Z,"Indianapolis, Indiana",1963-07-27T00:00:00Z,"St Louis, Missouri",http://en.wikipedia.org/wiki/Hooks_Dauss,http://upload.wikimedia.org/wikipedia/en/e/e8/HooksDauss.jpg,"George ""Hooks"" Dauss, 1909",Wikimedia,
Jerry,Davie, P,1959-01-01T00:00:00Z,,,,,1933-02-10T00:00:00Z,"Detroit, Michigan",,,http://en.wikipedia.org/wiki/Jerry_Davie,,,,
Eric,Davis, OF,1993-01-01T00:00:00Z,1994-01-01T00:00:00Z,,,,1962-05-29T00:00:00Z,"Los Angeles, California",,,http://en.wikipedia.org/wiki/Eric_Davis_(baseball),http://upload.wikimedia.org/wikipedia/commons/f/f5/Eric_davis.jpg,"Eric Davis, 1989",Rick Dikeman,
"Harry ""Stinky""",Davis, IF,1932-01-01T00:00:00Z,1933-01-01T00:00:00Z,,,,1908-05-07T00:00:00Z,"Shreveport, Louisiana",1997-03-03T00:00:00Z,"Shreveport, Louisiana",http://en.wikipedia.org/wiki/Harry_Davis_(1930s_first_baseman),,,,
"George ""Storm""",Davis, P,1993-01-01T00:00:00Z,1994-01-01T00:00:00Z,,,,1961-12-26T00:00:00Z,"Dallas, Texas",,,http://en.wikipedia.org/wiki/Storm_Davis,,,,
Woody,Davis, P,1938-01-01T00:00:00Z,,,,,1913-04-25T00:00:00Z,"Nicholas, Georgia",1999-07-18T00:00:00Z,"Jesup, Georgia",http://en.wikipedia.org/wiki/Woody_Davis,,,,
"Eulogio ""Frankie""",De La Cruz Martinez, P,2006-01-01T00:00:00Z,2007-01-01T00:00:00Z,,,,1984-03-12T00:00:00Z,"Santo Domingo, Dominican Republic",,,http://en.wikipedia.org/wiki/Eulogio_De_La_Cruz,http://upload.wikimedia.org/wikipedia/commons/5/5d/EulogioDeLaCruz.jpg,"Eulogio de la Cruz, 2008",Rabbethan,
Iván,DeJesús, IF,1988-01-01T00:00:00Z,,,,,1953-01-09T00:00:00Z,"Santurce, Puerto Rico",,,http://en.wikipedia.org/wiki/Iv%C3%A1n_DeJes%C3%BAs,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/IvanDejesus1988.jpg/430px-IvanDejesus1988.jpg,"Iván DeJesús, 1988",Johnmaxmena2,
Charlie,Deal, IF,1912-01-01T00:00:00Z,1913-01-01T00:00:00Z,,,,1891-10-30T00:00:00Z,"Wilkinsburg, Pennsylvania",1979-09-16T00:00:00Z,"Covina, California",http://en.wikipedia.org/wiki/Charlie_Deal,http://upload.wikimedia.org/wikipedia/commons/thumb/d/df/CharlieDealLOC.jpg/800px-CharlieDealLOC.jpg,"Charlie Deal, 1914",Bain News Service via Library of Congress,
Rob,Deer, OF,1991-01-01T00:00:00Z,1993-01-01T00:00:00Z,,,,1960-09-29T00:00:00Z,"Orange, California",,,http://en.wikipedia.org/wiki/Rob_Deer,,,,
John,Deering, P,1903-01-01T00:00:00Z,,,,,1879-06-25T00:00:00Z,"Lynn, Massachusetts",1943-02-15T00:00:00Z,"Beverly, Massachusetts",http://en.wikipedia.org/wiki/John_Deering_(baseball),,,,
"Clyde ""Tony""",DeFate, IF,1917-01-01T00:00:00Z,,,,,1895-02-22T00:00:00Z,"Kansas City, Missouri",1963-09-03T00:00:00Z,"New Orleans, Louisiana",http://en.wikipedia.org/wiki/Tony_DeFate,,,,
Mark,DeJohn, IF,1982-01-01T00:00:00Z,,,,,1953-09-18T00:00:00Z,"Middletown, Connecticut",,,http://en.wikipedia.org/wiki/Mark_DeJohn,,,,
Jim,Delahanty, IF,1909-01-01T00:00:00Z,1912-01-01T00:00:00Z,,,,1879-06-20T00:00:00Z,"Cleveland, Ohio",1953-10-17T00:00:00Z,"Cleveland, Ohio",http://en.wikipedia.org/wiki/Jim_Delahanty,http://upload.wikimedia.org/wikipedia/commons/e/ef/Jim_Delahanty_baseball_card.jpg,"James Delahunty, 1911",American Tobacco Company,
Jim,Delsing, OF,1952-01-01T00:00:00Z,1956-01-01T00:00:00Z,,,,1925-11-13T00:00:00Z,"Rudolph, Wisconsin",2006-05-04T00:00:00Z,"Chesterfield, Missouri",http://en.wikipedia.org/wiki/Jim_Delsing,http://upload.wikimedia.org/wikipedia/commons/9/93/Jim_Delsing_1953.jpg,"Jim Delsing, 1953",Bowman Gum,
Don,Demeter, OF,1964-01-01T00:00:00Z,1966-01-01T00:00:00Z,,,,1935-06-25T00:00:00Z,"Oklahoma City, Oklahoma",,,http://en.wikipedia.org/wiki/Don_Demeter,http://upload.wikimedia.org/wikipedia/commons/6/6f/Don-Demeter.png,"Don Demeter, 1959","Baseball Digest, Page 19, July 1959",
Steve,Demeter, IF,1959-01-01T00:00:00Z,,,,,1935-01-27T00:00:00Z,"Homer City, Pennsylvania",2013-02-03T00:00:00Z,"Parma, Ohio",http://en.wikipedia.org/wiki/Steve_Demeter,,,,
Ray,Demmitt, OF,1914-01-01T00:00:00Z,,,,,1884-02-02T00:00:00Z,"Illiopolis, Illinois",1956-02-19T00:00:00Z,"Glen Ellyn, Illinois",http://en.wikipedia.org/wiki/Ray_Demmitt,http://upload.wikimedia.org/wikipedia/commons/6/65/Ray_Demmitt.jpg,"Ray Demmitt, 1914",Bain News Service via Library of Congress,
Bill,Denehy, P,1971-01-01T00:00:00Z,,,,,1946-03-31T00:00:00Z,"Middletown, Massachusetts",,,http://en.wikipedia.org/wiki/Bill_Denehy_(baseball),,,,
"Gene ""Reds""",Desautels, C,1930-01-01T00:00:00Z,1933-01-01T00:00:00Z,,,,1907-06-13T00:00:00Z,"Worcester, Massachusetts",1994-11-05T00:00:00Z,"Flint, Michigan",http://en.wikipedia.org/wiki/Gene_Desautels,http://upload.wikimedia.org/wikipedia/commons/5/53/Gene_Desautels.jpeg,"Gene Desautels, 1940",Bowman Gum,
John,DeSilva, P,1993-01-01T00:00:00Z,,,,,1967-09-30T00:00:00Z,"Fort Bragg, California",,,http://en.wikipedia.org/wiki/John_DeSilva,,,,
Bernie,DeViveiros, IF,1927-01-01T00:00:00Z,,,,,1901-04-19T00:00:00Z,"Oakland, California",1994-07-05T00:00:00Z,"Oakland, California",http://en.wikipedia.org/wiki/Bernie_DeViveiros,,,,
Mike,DiFelice, C,2004-01-01T00:00:00Z,,,,,1969-05-28T00:00:00Z,"Philadelphia, Pennsylvania",,,http://en.wikipedia.org/wiki/Mike_DiFelice,,,,
Bob,Didier, C,1973-01-01T00:00:00Z,,,,,1949-02-16T00:00:00Z,"Hattiesburg, Mississippi",,,http://en.wikipedia.org/wiki/Bob_Didier,,,,
Steve,Dillard, IF,1978-01-01T00:00:00Z,,,,,1951-02-08T00:00:00Z,"Memphis, Tennessee",,,http://en.wikipedia.org/wiki/Steve_Dillard_(baseball),,,,
"Frank ""Pop""",Dillon, IF,1901-01-01T00:00:00Z,1902-01-01T00:00:00Z,,,,1873-10-17T00:00:00Z,"Normal, Illinois",1931-09-12T00:00:00Z,"Pasadena, California",http://en.wikipedia.org/wiki/Pop_Dillon,http://upload.wikimedia.org/wikipedia/en/d/da/Pop_Dillon.jpg,"Pop Dillon, 1903",Breisch-Williams,
Craig,Dingman, P,2004-01-01T00:00:00Z,2005-01-01T00:00:00Z,,,,1974-03-12T00:00:00Z,"Wichita, Kansas",,,http://en.wikipedia.org/wiki/Craig_Dingman,,,,
Andy,Dirks, OF,2011-01-01T00:00:00Z,2013-01-01T00:00:00Z,,,,,,,,,,,,
George,Disch, P,1905-01-01T00:00:00Z,,,,,,,,,,,,,
Glenn,Dishman, P,1997-01-01T00:00:00Z,,,,,,,,,,,,,
Jack,Dittmer, IF,1957-01-01T00:00:00Z,,,,,,,,,,,,,
Brent,Dlugach, IF,2009-01-01T00:00:00Z,,,,,,,,,,,,,
Pat,Dobson, P,1967-01-01T00:00:00Z,1969-01-01T00:00:00Z,,,,,,,,,,,,
Larry,Doby, OF,1959-01-01T00:00:00Z,,,,,,,,,,,,,
John,Doherty, P,1992-01-01T00:00:00Z,1995-01-01T00:00:00Z,,,,,,,,,,,,
Frank,Doljack, OF,1930-01-01T00:00:00Z,1934-01-01T00:00:00Z,,,,,,,,,,,,
Freddy,Dolsi, P,2008-01-01T00:00:00Z,2009-01-01T00:00:00Z,,,,,,,,,,,,
Red,Donahue, P,1906-01-01T00:00:00Z,,,,,,,,,,,,,
Jim,Donohue, P,1961-01-01T00:00:00Z,,,,,,,,,,,,,
Wild Bill,Donovan,P,1903-01-01T00:00:00Z,1912-01-01T00:00:00Z,1918-01-01T00:00:00Z,,,,,,,,,,,
Dick,Donovan, P,1954-01-01T00:00:00Z,,,,,,,,,,,,,
Tom,Doran, C,1905-01-01T00:00:00Z,,,,,,,,,,,,,
Octavio,Dotel, P,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,,,,,,,,,,,,
Sean,Douglass, P,2005-01-01T00:00:00Z,,,,,,,,,,,,,
Snooks,Dowd, IF,1919-01-01T00:00:00Z,,,,,,,,,,,,,
Darin,Downs, P,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,,,,,,,,,,,,
Red,Downs, IF,1907-01-01T00:00:00Z,1908-01-01T00:00:00Z,,,,,,,,,,,,
Jess,Doyle, P,1925-01-01T00:00:00Z,1927-01-01T00:00:00Z,,,,,,,,,,,,
Delos,Drake, OF,1911-01-01T00:00:00Z,,,,,,,,,,,,,
Lee,Dressen, IF,1918-01-01T00:00:00Z,,,,,,,,,,,,,
Lew,Drill, C,1904-01-01T00:00:00Z,1905-01-01T00:00:00Z,,,,,,,,,,,,
Walt,Dropo, IF,1952-01-01T00:00:00Z,1954-01-01T00:00:00Z,,,,,,,,,,,,
Brian,Dubois, P,1989-01-01T00:00:00Z,1990-01-01T00:00:00Z,,,,,,,,,,,,
Jean,Dubuc, P,1912-01-01T00:00:00Z,1916-01-01T00:00:00Z,,,,,,,,,,,,
Joe,Dugan, IF,1931-01-01T00:00:00Z,,,,,,,,,,,,,
Roberto,Durán, P,1997-01-01T00:00:00Z,1998-01-01T00:00:00Z,,,,,,,,,,,,
Chad,Durbin, P,2006-01-01T00:00:00Z,2007-01-01T00:00:00Z,,,,,,,,,,,,
Bob,Dustal, P,1963-01-01T00:00:00Z,,,,,,,,,,,,,
Ben,Dyer, IF,1916-01-01T00:00:00Z,1919-01-01T00:00:00Z,,,,,,,,,,,,
Duffy,Dyer, C,1980-01-01T00:00:00Z,1981-01-01T00:00:00Z,,,,,,,,,,,,
Scott,Earl, IF,1984-01-01T00:00:00Z,,,,,1960-09-18T00:00:00Z,"Seymour, Indiana",,,http://en.wikipedia.org/wiki/Scott_Earl,,,,
Damion,Easley, IF,1996-01-01T00:00:00Z,2002-01-01T00:00:00Z,,,,,,,,,,,,
Mal,Eason, P,1903-01-01T00:00:00Z,,,,,,,,,,,,,
Paul,Easterling, OF,1928-01-01T00:00:00Z,1930-01-01T00:00:00Z,,,,,,,,,,,,
Zeb,Eaton, P,1944-01-01T00:00:00Z,1945-01-01T00:00:00Z,,,,,,,,,,,,
Eric,Eckenstahler, P,2002-01-01T00:00:00Z,2003-01-01T00:00:00Z,,,,,,,,,,,,
"Aloysius ""Wish""",Egan, P,1902-01-01T00:00:00Z,,,,,1881-06-16T00:00:00Z,"Evart, Michigan",1951-04-13T00:00:00Z,"Detroit, Michigan",http://en.wikipedia.org/wiki/Wish_Egan,,,,
Dick,Egan, P,1963-01-01T00:00:00Z,1964-01-01T00:00:00Z,,,,,,,,,,,,
